Name,Host_Id,Host_Identity_Verified,Host_Name,Neighbourhood_Group,Neighbourhood,Latitude,Longitude,Country,Country_Code,Instant_Bookable,Cancellation_Policy,Room_Type,Construction_Year,Price,Service_Fee,Minimum_Nights,Number_Of_Reviews
Le Petit Palace De Brooklyn - Clean Comfy 4 BR Apt,80325972584,VERIFIED,Chantal,Brooklyn,East Flatbush,40.64383,-73.94902,United States,US,False,strict,Entire home/apt,2007,1105,221.0,3.0,71.0
HugeTropical Bedrm near Ferry,95472142779,UNCONFIRMED,Tony & Grace,Staten Island,St. George,40.64057,-74.0786,United States,US,False,moderate,Private room,2004,67,13.0,1.0,20.0
Spacious Studio Apartment with Full Size Kitchen,3314835971,UNCONFIRMED,Charles,Manhattan,Hell's Kitchen,40.76615,-73.98408,United States,US,False,moderate,Private room,2008,747,149.0,15.0,0.0
Whimsical & Cute Private Room in 2 Bdrm Apt,76605981023,VERIFIED,Christen,Brooklyn,Williamsburg,40.71622,-73.94273,United States,US,False,flexible,Private room,2004,1071,214.0,14.0,54.0
For all classical lover's,23903544926,UNCONFIRMED,Glory,Brooklyn,Sheepshead Bay,40.60803,-73.96211,United States,US,False,moderate,Private room,2015,214,43.0,3.0,15.0
Downtown Dream on the Park,60765286374,UNCONFIRMED,Julia,Manhattan,Chinatown,40.71348,-73.99135,United States,US,True,flexible,Entire home/apt,2019,938,188.0,20.0,38.0
Artist apt w/ Private room in Bed Stuy,76072778161,UNCONFIRMED,Ben,Brooklyn,Bedford-Stuyvesant,40.69653,-73.94994,United States,US,True,flexible,Private room,2017,1161,232.0,2.0,5.0
1Bdrm Deluxe WYNDHAM MIDTOWN 45*Great Location NYC,56034595145,UNCONFIRMED,Wynpoints,Manhattan,Midtown,40.75388,-73.97308,United States,US,False,moderate,Private room,2015,477,95.0,3.0,2.0
Hotel Style KG/QN Room WYNDHAM MIDTOWN 45,60322067838,UNCONFIRMED,Wynpoints,Manhattan,Midtown,40.75344,-73.97207,United States,US,True,flexible,Private room,2005,575,115.0,3.0,7.0
Cozy bright studio flat - Soho/Village,89368182146,VERIFIED,Karen,Manhattan,SoHo,40.7263,-74.00344,United States,US,False,flexible,Entire home/apt,2008,837,167.0,2.0,136.0
2 Double Bed WYNDHAM MIDTOWN 45 *NYC*,53691220337,VERIFIED,Wynpoints,Manhattan,Midtown,40.75359,-73.97295,United States,US,False,flexible,Private room,2021,192,38.0,2.0,13.0
2Bdrm PRESIDENTIAL CONDO Wyndham Midtown 45 Hotel,19060349860,UNCONFIRMED,Wynpoints,Manhattan,Midtown,40.75375,-73.97295,United States,US,True,strict,Private room,2004,212,42.0,4.0,3.0
Spacious one bedroom in Union Sq/Greenwich Village,62487342736,UNCONFIRMED,Andrew,Manhattan,Greenwich Village,40.73506,-73.99203,United States,US,True,moderate,Entire home/apt,2017,1100,220.0,2.0,5.0
Cozy Clean Room in Manhattan's Upper West Side,68447654630,UNCONFIRMED,Angela,Manhattan,Upper West Side,40.79512,-73.9733,United States,US,False,moderate,Private room,2016,849,170.0,2.0,45.0
Charming pre-war near Central Park,17554601368,UNCONFIRMED,Maimouna,Manhattan,Harlem,40.79992,-73.95502,United States,US,True,flexible,Entire home/apt,2017,838,168.0,30.0,14.0
Full size bed with drawer space!,90346566017,VERIFIED,Alyssa Faye,Manhattan,Harlem,40.82088,-73.93879,United States,US,True,moderate,Private room,2018,526,105.0,1.0,0.0
"Private! entire studio, private bath, own entrance",17556641895,VERIFIED,Walter,Brooklyn,Bushwick,40.69555,-73.93069,United States,US,False,flexible,Entire home/apt,2006,886,177.0,1.0,81.0
Minimalistic 1 bedroom in the heart of Manhattan,88218228515,UNCONFIRMED,D&N,Manhattan,Two Bridges,40.71231,-73.99257,United States,US,False,moderate,Entire home/apt,2016,737,147.0,3.0,137.0
new sunshine room in chinatown train F is around,65880994084,UNCONFIRMED,Na,Manhattan,Chinatown,40.7135,-73.99121,United States,US,False,strict,Private room,2016,51,10.0,1.0,318.0
Cozy 4 Bedroom's Times Square Apartment!,13637801835,VERIFIED,Patrick,Manhattan,Theater District,40.76093,-73.98327,United States,US,True,moderate,Private room,2017,718,144.0,3.0,0.0
Versatile private room in Harlem/Hamilton Heights!,98459289516,VERIFIED,Edward,Manhattan,Harlem,40.82377,-73.94981,United States,US,False,flexible,Private room,2013,398,80.0,4.0,42.0
Spacious 2 Bedroom NYC Apt with River Views!,96746514741,VERIFIED,Kara,Manhattan,Hell's Kitchen,40.76027,-73.99826,United States,US,False,strict,Entire home/apt,2020,406,81.0,30.0,0.0
Bluebird Hell's Kitchen Studio Apartment + Spa!!!,97414463392,VERIFIED,Bluebird,Manhattan,Hell's Kitchen,40.76221,-73.99795,United States,US,True,flexible,Entire home/apt,2003,694,139.0,30.0,0.0
Bluebird Hell's Kitchen 1-BR + Full Service Spa!,40719920105,VERIFIED,Bluebird,Manhattan,Hell's Kitchen,40.76115,-73.99823,United States,US,True,strict,Entire home/apt,2014,740,148.0,30.0,0.0
Bluebird Lavish 1-BR Apt 1 Mile from Times Square!,52198155317,VERIFIED,Bluebird,Manhattan,Hell's Kitchen,40.7619,-73.99819,United States,US,False,strict,Entire home/apt,2008,1178,236.0,30.0,0.0
Bluebird Hells Kitchen 2-BR Apt + Full Service Spa,9525400515,VERIFIED,Bluebird,Manhattan,Hell's Kitchen,40.76075,-73.99893,United States,US,True,flexible,Entire home/apt,2017,1136,227.0,30.0,0.0
Bluebird Lavish 2-BR Apt Within Mile of Times Sq.,54024496187,VERIFIED,Bluebird,Manhattan,Hell's Kitchen,40.7602,-73.998,United States,US,True,flexible,Entire home/apt,2020,884,177.0,30.0,0.0
Bedroom w/ Gorgeous Tree Lined and River View,74891703409,UNCONFIRMED,Andrea,Manhattan,Washington Heights,40.8337,-73.9458,United States,US,True,strict,Private room,2014,467,93.0,10.0,5.0
2 Bedroom in the heart of Williamsburg,20074575537,UNCONFIRMED,Nina,Brooklyn,Williamsburg,40.71958,-73.96123,United States,US,False,flexible,Entire home/apt,2004,304,61.0,2.0,19.0
Bluebird Deluxe 1-BR Apartment Near Central Park!,44130662247,UNCONFIRMED,Bluebird,Manhattan,Midtown,40.76574,-73.98188,United States,US,False,flexible,Entire home/apt,2003,598,120.0,30.0,0.0
#Bluebird Elegant 1-BR Apartment Near Times Square,54242720158,VERIFIED,Bluebird,Manhattan,Midtown,40.7671,-73.98148,United States,US,True,moderate,Entire home/apt,2003,872,174.0,30.0,0.0
Bluebird Deluxe 2-BR Apartment Near Central Park!,53050780141,VERIFIED,Bluebird,Manhattan,Hell's Kitchen,40.76714,-73.9834,United States,US,False,flexible,Entire home/apt,2014,153,31.0,30.0,0.0
#BBS 2-BR Apartment Near Times Square *Specials*,18303595936,UNCONFIRMED,Bluebird,Manhattan,Midtown,40.76487,-73.98238,United States,US,True,strict,Entire home/apt,2012,683,137.0,30.0,0.0
Luxury One Bedroom,55144938215,VERIFIED,Olivier,Manhattan,Upper West Side,40.77727,-73.98453,United States,US,True,strict,Entire home/apt,2018,1008,202.0,30.0,9.0
"LES ‘GEM’ - 1BR APARTMENT, GREAT LOCATION, STOCKED",10527331918,VERIFIED,Stewart,Manhattan,Lower East Side,40.72195,-73.98698,United States,US,False,moderate,Entire home/apt,2019,138,28.0,2.0,15.0
Nice private room in hip and trendy Brooklyn,24272019692,VERIFIED,Carla,Brooklyn,Bushwick,40.68687,-73.91564,United States,US,False,flexible,Private room,2022,782,156.0,2.0,21.0
Peaceful Private Room in Brooklyn,78895867754,VERIFIED,Stephany,Brooklyn,Bushwick,40.6883,-73.90596,United States,US,False,moderate,Private room,2020,1130,226.0,2.0,104.0
Room for rent,46902501849,VERIFIED,Mario,Manhattan,East Harlem,40.79655,-73.93848,United States,US,False,flexible,Private room,2015,485,97.0,3.0,54.0
Wonderful Room in South Harlem near Central Park,87337032016,VERIFIED,Heroni,Manhattan,Harlem,40.8014,-73.95793,United States,US,False,strict,Private room,2003,1049,210.0,2.0,12.0
Lovely&Morden bedroom near everything you want!,39311128465,UNCONFIRMED,Yukee,Manhattan,Upper West Side,40.80039,-73.96724,United States,US,False,strict,Private room,2011,605,121.0,1.0,56.0
Charming 1 Bedroom Garden Apt,86391747479,VERIFIED,Aitan,Brooklyn,Prospect Heights,40.67688,-73.96735,United States,US,False,moderate,Entire home/apt,2013,743,149.0,3.0,109.0
Sun-lit room w/in steps of best of Williamsburg,22661441178,VERIFIED,Nathan,Brooklyn,Williamsburg,40.71145,-73.95887,United States,US,False,strict,Private room,2018,475,95.0,3.0,9.0
Spacious quiet second floor brownstone apartment,9847238014,VERIFIED,Nicola,Brooklyn,Carroll Gardens,40.68048,-73.99322,United States,US,True,moderate,Entire home/apt,2007,555,111.0,4.0,8.0
Gorgeous 2 Bedroom apartment /Upper East side,36612614616,VERIFIED,Cristina,Manhattan,Upper East Side,40.77341,-73.95025,United States,US,True,strict,Entire home/apt,2009,960,192.0,1.0,16.0
"East Brodway in Lower East Side, quiete and cute!",25519630394,UNCONFIRMED,Paolo,Manhattan,Chinatown,40.71333,-73.9916,United States,US,False,moderate,Private room,2017,1002,200.0,30.0,1.0
Luxurious Guestroom w/Private Bathroom & Entrance,58347102877,VERIFIED,Christine,Brooklyn,Prospect-Lefferts Gardens,40.65985,-73.95725,United States,US,True,moderate,Private room,2019,248,50.0,2.0,27.0
Bright Loft Room in a Charming Brooklyn Apartment,93760308635,UNCONFIRMED,Aracelis,Brooklyn,Williamsburg,40.71381,-73.93903,United States,US,False,strict,Private room,2004,799,160.0,1.0,31.0
"Huge Private Bedroom, Patio, + 20min to Midtown",86820034811,UNCONFIRMED,Brian & Jonathan,Manhattan,Harlem,40.83014,-73.94656,United States,US,True,moderate,Private room,2009,791,158.0,3.0,49.0
Luxury bedroom - Nomad Chelsea area,13464284337,VERIFIED,Andy,Manhattan,Chelsea,40.74381,-73.9923,United States,US,True,strict,Entire home/apt,2012,525,105.0,30.0,2.0
Huge 1BR Luxury Apartment in Williamsburg,55477948692,UNCONFIRMED,Peter,Brooklyn,Williamsburg,40.71113,-73.95296,United States,US,True,strict,Entire home/apt,2006,504,101.0,2.0,6.0
Spacious & Bright Midtown 1 Bedroom -Elevator Bldg,48684324146,UNCONFIRMED,Matthew,Manhattan,Midtown,40.75723,-73.96313,United States,US,False,strict,Entire home/apt,2006,334,67.0,2.0,10.0
Private room with private bathroom,66263880364,VERIFIED,Amanda,Brooklyn,Greenpoint,40.72342,-73.94838,United States,US,False,moderate,Private room,2021,388,78.0,2.0,38.0
"Newly Renovated, Bright 1 BR in Central Manhattan",34938238100,VERIFIED,Rebecca,Manhattan,Kips Bay,40.74089,-73.98094,United States,US,False,strict,Entire home/apt,2005,80,16.0,3.0,20.0
Cozy Brooklyn Room,80329667675,UNCONFIRMED,Johari,Brooklyn,Bedford-Stuyvesant,40.68137,-73.91359,United States,US,False,flexible,Private room,2008,1098,220.0,30.0,5.0
Amazing & Clean NYC Private Room by #1 Train,76808099597,UNCONFIRMED,Jovanni & Natasha,Bronx,North Riverdale,40.90175,-73.89761,United States,US,False,strict,Private room,2006,919,184.0,2.0,9.0
Luxury 2BR Penthouse in the hearth of Soho (Nyc),53709210569,VERIFIED,Gaia&Pietro,Manhattan,SoHo,40.72575,-74.00128,United States,US,True,moderate,Entire home/apt,2005,1029,206.0,3.0,32.0
Private Room with a patio in Park Slope Brooklyn,63978659290,UNCONFIRMED,Phines,Brooklyn,Sunset Park,40.66198,-73.98964,United States,US,True,moderate,Private room,2015,822,164.0,2.0,0.0
Sunny Studio in Midtown Manhattan,19026047290,VERIFIED,Christiane,Manhattan,Kips Bay,40.74533,-73.9772,United States,US,True,moderate,Entire home/apt,2004,183,37.0,2.0,5.0
THE PRIVACY DEN ~ 5 MINUTES TO JFK,32679957182,UNCONFIRMED,Miss Dy,Queens,Springfield Gardens,40.66735,-73.76647,United States,US,False,flexible,Entire home/apt,2010,1071,214.0,1.0,434.0
The Manhattan Club in the heart of midtown!!!!,73780058761,UNCONFIRMED,Endless Resort Options,Manhattan,Midtown,40.76382,-73.98007,United States,US,True,flexible,Entire home/apt,2007,723,145.0,4.0,0.0
Borough Park/Kensington 3 room Apartment,49197614161,UNCONFIRMED,Chaim,Brooklyn,Borough Park,40.63561,-73.97961,United States,US,True,flexible,Entire home/apt,2007,911,182.0,7.0,1.0
Private room in charming Brooklyn Apartment,63988424251,VERIFIED,Fely,Brooklyn,Crown Heights,40.67642,-73.961,United States,US,True,moderate,Private room,2017,734,147.0,2.0,3.0
NEW & PRIVATE 2 bedroom apt in stately townhouse,94554836261,UNCONFIRMED,Ken,Brooklyn,Gowanus,40.68255,-73.9899,United States,US,False,flexible,Entire home/apt,2022,1189,238.0,30.0,118.0
"Fab Studio with Gym, Doorman & Elevator Sleeps 4",36642142512,UNCONFIRMED,Abc,Manhattan,West Village,40.73322,-74.00853,United States,US,True,moderate,Entire home/apt,2006,431,86.0,30.0,12.0
Clean Private Bedroom - Bushwick Brooklyn New York,21725062719,VERIFIED,Leslie,Brooklyn,Bedford-Stuyvesant,40.68303,-73.91238,United States,US,False,moderate,Private room,2014,491,98.0,1.0,2.0
UNION SQUARE / Perfect Cozy Private Room!,9338036570,UNCONFIRMED,Haru,Manhattan,Gramercy,40.73402,-73.9862,United States,US,True,strict,Private room,2011,864,173.0,1.0,88.0
*ENJOY NYC*New Renovated Apartment(Private room),12312853867,UNCONFIRMED,Sasha,Bronx,Woodlawn,40.88253,-73.86951,United States,US,False,moderate,Private room,2007,164,33.0,1.0,6.0
Cozy Apt in NYC Brownstone,81426096532,VERIFIED,Joyce,Manhattan,Murray Hill,40.74699,-73.97659,United States,US,True,flexible,Entire home/apt,2020,627,125.0,3.0,62.0
Private Retreat in Brooklyn,8360017087,UNCONFIRMED,Tim & Rachel,Brooklyn,East Flatbush,40.65141,-73.92512,United States,US,False,strict,Entire home/apt,2012,933,187.0,3.0,109.0
Private room for 1 or 2 in Chelsea. Prime location,49405109192,VERIFIED,Lindsay,Manhattan,Chelsea,40.74853,-73.99593,United States,US,False,moderate,Private room,2006,1138,228.0,1.0,18.0
Wyndham Midtown 45 New York City Studio,67518923269,UNCONFIRMED,Vacation Generation,Manhattan,Midtown,40.7536,-73.97306,United States,US,True,flexible,Entire home/apt,2014,116,23.0,2.0,9.0
Comfy room in quaint apartment above the Park,68674073277,UNCONFIRMED,Katharine,Manhattan,East Harlem,40.79523,-73.94278,United States,US,False,strict,Private room,2017,1054,211.0,120.0,0.0
Spacious Tribeca loft! Roofdeck & close to trains,93847612055,UNCONFIRMED,Jamie,Manhattan,Civic Center,40.71625,-74.00401,United States,US,True,moderate,Entire home/apt,2004,630,126.0,2.0,0.0
Newly Renovated Studio Near Manhattan,62906134728,VERIFIED,Zia,Queens,Woodside,40.74767,-73.90721,United States,US,False,flexible,Entire home/apt,2005,1099,220.0,2.0,9.0
Luxury Apartment in Williamsburg!,20898419058,UNCONFIRMED,David,Brooklyn,Williamsburg,40.71258,-73.95191,United States,US,False,strict,Entire home/apt,2020,436,87.0,5.0,5.0
1 bedroom in sunny Nolita apartment,28186142972,UNCONFIRMED,Lauren,Manhattan,Nolita,40.7215,-73.99395,United States,US,True,strict,Private room,2009,771,154.0,2.0,5.0
Amazing Space...Awesome Location...Private Room,66687869662,VERIFIED,Mike,Brooklyn,Prospect Heights,40.67431,-73.9651,United States,US,False,moderate,Private room,2014,799,160.0,3.0,3.0
1 Bedroom (Queen) Mins From JFK and Casino,51817818172,VERIFIED,Iwona,Queens,Jamaica,40.67518,-73.78046,United States,US,False,strict,Private room,2014,527,105.0,1.0,45.0
Colorful Artist Apartment in Park Slope Brooklyn,67721735225,UNCONFIRMED,Caroline,Brooklyn,South Slope,40.66634,-73.98185,United States,US,True,flexible,Entire home/apt,2007,150,30.0,1.0,32.0
Historic Townhome for Shoots/Videos,89717806109,VERIFIED,Raymond,Manhattan,Harlem,40.80594,-73.9454,United States,US,True,moderate,Entire home/apt,2008,1126,225.0,1.0,2.0
Beautiful Private Room near Columbia University,4477829353,VERIFIED,Gabriel,Manhattan,Morningside Heights,40.80751,-73.96619,United States,US,True,moderate,Private room,2016,987,197.0,2.0,5.0
Bushwick Bedroom (Available Daily Again),7344484226,VERIFIED,Jasmine,Brooklyn,Bushwick,40.69804,-73.92816,United States,US,False,moderate,Private room,2016,1052,210.0,1.0,45.0
Gatsby Room,62529489527,UNCONFIRMED,Maria,Manhattan,Lower East Side,40.72203,-73.98986,United States,US,False,moderate,Private room,2009,243,49.0,1.0,2.0
Cozy Island Bedroom near Ferry,47751718396,UNCONFIRMED,Tony & Grace,Staten Island,St. George,40.64055,-74.0784,United States,US,False,moderate,Private room,2018,953,191.0,1.0,60.0
Gatsby Room 2,80001553718,UNCONFIRMED,Maria,Manhattan,Lower East Side,40.72205,-73.9913,United States,US,False,moderate,Private room,2018,1095,219.0,1.0,3.0
LUXURY SUTTON PLACE RESIDENCY~DOORMAN/GYM/ELEVATOR,23101194042,VERIFIED,Ruchi,Manhattan,Midtown,40.75936,-73.96293,United States,US,True,flexible,Entire home/apt,2015,61,12.0,30.0,0.0
Gatsby Room 1,43657887580,VERIFIED,Maria,Manhattan,Lower East Side,40.72342,-73.99108,United States,US,True,moderate,Private room,2004,833,167.0,1.0,0.0
Bright & spacious apartment in East Williamsburg,67735233495,VERIFIED,Anu,Brooklyn,Williamsburg,40.70912,-73.94513,United States,US,False,flexible,Entire home/apt,2018,168,34.0,2.0,22.0
EPIC VIEWS ❤️ Wyndham Midtown 45 at NYC Studio ❤️,4866774581,VERIFIED,ResortShare5,Manhattan,Midtown,40.7531,-73.97321,United States,US,False,flexible,Private room,2018,737,147.0,2.0,3.0
~**GORGEOUS DOWNTOWN LOFTS**~ MULTIPLE SPACES,87308978510,VERIFIED,Sam,Manhattan,Chinatown,40.71745,-73.99409,United States,US,False,flexible,Entire home/apt,2005,406,81.0,1.0,23.0
Clean and Sunny room near Midtown Manhattan,34296219685,VERIFIED,Daljit,Queens,Astoria,40.75786,-73.92808,United States,US,True,flexible,Private room,2014,890,178.0,2.0,108.0
Comfy Private Room w/ Big TV,26310720477,VERIFIED,Belkis,Bronx,Bronxdale,40.85585,-73.86486,United States,US,True,strict,Private room,2018,338,68.0,5.0,65.0
Beautiful Bedroom by Prospect Park,19174749467,VERIFIED,Tracy,Brooklyn,Flatbush,40.65228,-73.96402,United States,US,False,strict,Private room,2009,858,172.0,3.0,1.0
Bright and modern 1 BR in Williamsburg w/balcony,800446897,VERIFIED,Kevin,Brooklyn,Williamsburg,40.71238,-73.96279,United States,US,False,strict,Entire home/apt,2013,611,122.0,3.0,1.0
Naturally lit room in Artsy Bushwick,51999537438,VERIFIED,Auzi,Brooklyn,Bushwick,40.69108,-73.91531,United States,US,True,strict,Private room,2007,537,107.0,5.0,0.0
Enjoy NYC and feel like your home!,92045446965,UNCONFIRMED,Diana,Manhattan,Washington Heights,40.85679,-73.932,United States,US,False,moderate,Private room,2013,450,90.0,2.0,60.0
Beautiful Large Room,88906327353,VERIFIED,Airamis,Bronx,Bronxdale,40.85236,-73.86632,United States,US,False,moderate,Private room,2021,288,58.0,1.0,114.0
An artistic experience,70565404286,VERIFIED,Patricia,Brooklyn,Williamsburg,40.7155,-73.95632,United States,US,True,flexible,Private room,2020,913,183.0,5.0,15.0
Large one bed room pied a terre in Park Slope,42986671231,VERIFIED,Jean Victor,Brooklyn,Park Slope,40.67293,-73.98609,United States,US,False,flexible,Entire home/apt,2004,903,181.0,30.0,7.0
Fort Greene - Whole Apartment with washer & dryer,13354693002,VERIFIED,Lauren,Brooklyn,Fort Greene,40.68725,-73.97458,United States,US,False,strict,Entire home/apt,2009,936,187.0,2.0,4.0
Spacious Room in IDEAL LES LOCATION,54496629717,UNCONFIRMED,Daniel,Manhattan,Chinatown,40.7164,-73.99188,United States,US,True,moderate,Private room,2017,322,64.0,25.0,13.0
Sunny  Space in Crown Heights,67588436543,UNCONFIRMED,Andre,Brooklyn,Crown Heights,40.66631,-73.94764,United States,US,False,moderate,Private room,2006,430,86.0,30.0,3.0
Cozy Space in Crown Heights,78821034742,VERIFIED,Andre,Brooklyn,Crown Heights,40.66596,-73.94936,United States,US,False,strict,Private room,2006,72,14.0,1.0,13.0
Nice apartment in Gramercy.,32564289553,VERIFIED,Juan Eduardo,Manhattan,Gramercy,40.73736,-73.98025,United States,US,True,strict,Entire home/apt,2003,63,13.0,5.0,8.0
"2 Bedrooms, Luxury Doorman, Grand Central, Perfect",79368982935,UNCONFIRMED,Gal,Manhattan,Midtown,40.75241,-73.97081,United States,US,False,strict,Entire home/apt,2022,1147,229.0,30.0,0.0
Best of Wall Street (Full Studio ALL yours),1889008614,VERIFIED,Yasir,Manhattan,Financial District,40.70651,-74.00656,United States,US,False,moderate,Entire home/apt,2018,1084,217.0,2.0,1.0
"Ideal vacationing spot for beach lovers, near JFK",84720067458,UNCONFIRMED,Chadine,Queens,Arverne,40.58929,-73.79441,United States,US,False,strict,Private room,2006,427,85.0,3.0,3.0
"Netflix and Rest, One quaint bedroom in Ft. Greene",92262045705,UNCONFIRMED,Malik,Brooklyn,Fort Greene,40.68906,-73.97897,United States,US,True,strict,Private room,2018,205,41.0,1.0,82.0
Cityscape Views at Lux 1 Bed/1 Bath in Lincoln Sq.,44974877545,UNCONFIRMED,Henry,Manhattan,Upper West Side,40.78065,-73.98253,United States,US,False,moderate,Entire home/apt,2008,958,192.0,30.0,17.0
Artsy Duplex in Chelsea w/ Huge Terrace,93641750615,UNCONFIRMED,Nauman,Manhattan,Chelsea,40.74738,-74.00134,United States,US,True,strict,Entire home/apt,2019,85,17.0,3.0,3.0
Spacious 1BR Apt / Hamilton Heights,25777303964,UNCONFIRMED,Matt,Manhattan,Harlem,40.82218,-73.94593,United States,US,True,strict,Entire home/apt,2004,222,44.0,1.0,4.0
Basement private room w/AC near LaGuardia Airport,98719075641,UNCONFIRMED,Giovanni,Queens,East Elmhurst,40.75849,-73.87068,United States,US,True,strict,Private room,2016,634,127.0,1.0,218.0
Comfortable Chelsea Room,71756031109,VERIFIED,Rahul,Manhattan,Chelsea,40.74681,-74.00006,United States,US,True,strict,Private room,2012,1086,217.0,7.0,3.0
TOWNHOUSE  (Backyard/Rooftop + Photoshoots/Events),87274501749,VERIFIED,Benjamin,Brooklyn,Bushwick,40.69003,-73.90891,United States,US,False,moderate,Entire home/apt,2009,470,94.0,1.0,131.0
Wyndham Studio Condo with Kitchen SPECIAL TODAY!,70854387126,UNCONFIRMED,Wynpoints,Manhattan,Midtown,40.75175,-73.97218,United States,US,True,flexible,Private room,2004,475,95.0,3.0,8.0
Private Room in Williamsburg,58102082467,VERIFIED,Manuel,Brooklyn,Williamsburg,40.70683,-73.94582,United States,US,True,flexible,Private room,2021,1134,227.0,1.0,0.0
Huge Room in Ideal LES location,91469630024,VERIFIED,Daniel,Manhattan,Chinatown,40.71592,-73.99332,United States,US,False,flexible,Private room,2012,473,95.0,25.0,20.0
Cosy Appartment in Upper East Side,89367568923,VERIFIED,Rémi,Manhattan,Upper East Side,40.76952,-73.94892,United States,US,False,strict,Entire home/apt,2014,1052,210.0,7.0,12.0
"Comfy & Vibrant Bedroomm of Bushwick, Jefferson L",6981491716,VERIFIED,Ritchie,Brooklyn,Bushwick,40.70588,-73.92302,United States,US,False,moderate,Private room,2016,235,47.0,1.0,7.0
"One Room in  Luxury Apartment, 5min to Midtown",96367076745,VERIFIED,Joanna,Queens,Long Island City,40.74569,-73.94684,United States,US,False,moderate,Private room,2022,362,72.0,4.0,10.0
PRIVATE BED ROOM 12 MINS FROM JFK,10099987338,VERIFIED,Pamela,Queens,St. Albans,40.70348,-73.76621,United States,US,False,strict,Private room,2007,416,83.0,1.0,71.0
"Huge Apt 5 miles to Manhattan, Parking available",23338321605,UNCONFIRMED,Mag,Queens,Maspeth,40.72693,-73.90319,United States,US,False,flexible,Entire home/apt,2005,230,46.0,1.0,92.0
"JFK 20 and LGA 30, Heat Private 2 Bedrooms",81620938771,VERIFIED,Farida,Queens,Kew Gardens Hills,40.73216,-73.81841,United States,US,False,strict,Private room,2010,1112,222.0,1.0,0.0
YOUR HOME AWAY FROM HOME -- NYC WELCOMES YOU!,71749450195,UNCONFIRMED,Clyde,Brooklyn,Flatbush,40.64747,-73.96171,United States,US,False,moderate,Private room,2017,1027,205.0,3.0,65.0
Chic room by the park in Bushwick,85252545960,UNCONFIRMED,Patrick,Brooklyn,Bushwick,40.70191,-73.92298,United States,US,False,moderate,Private room,2009,58,12.0,1.0,11.0
Private bedroom in artsy NYC apartment.,51109940159,UNCONFIRMED,Eean,Bronx,Norwood,40.8722,-73.87607,United States,US,True,moderate,Private room,2019,488,98.0,3.0,22.0
Fun time in Williamsburg stylish apartment!,89947133542,VERIFIED,Satomi,Brooklyn,Williamsburg,40.70879,-73.94937,United States,US,False,moderate,Private room,2011,1044,209.0,7.0,15.0
BEAUTIFUL BEDROOM IN COZY APARTMENT,85346760112,UNCONFIRMED,Jose,Queens,Woodside,40.74845,-73.89665,United States,US,False,moderate,Private room,2010,752,150.0,1.0,42.0
"Spacious room in a clean, quiet and cozy home.",8295256466,UNCONFIRMED,Luis,Queens,Sunnyside,40.73922,-73.9265,United States,US,True,strict,Private room,2017,829,166.0,1.0,76.0
Private Room on the Upper West Side,70761338908,VERIFIED,Andrea,Manhattan,Upper West Side,40.78319,-73.97762,United States,US,False,strict,Private room,2007,90,18.0,2.0,8.0
Huge Beautiful Loft in the Heart of Williamsburg,31668147326,UNCONFIRMED,J.P.,Brooklyn,Williamsburg,40.72049,-73.96027,United States,US,True,strict,Entire home/apt,2013,1002,200.0,3.0,7.0
Amazing Townhouse in Harlem,69718786357,UNCONFIRMED,Chelsea,Manhattan,Harlem,40.80869,-73.94205,United States,US,True,flexible,Entire home/apt,2005,249,50.0,4.0,16.0
Lovely Large Bedroom in West Harlem,33144822956,VERIFIED,Lauren,Manhattan,Harlem,40.81463,-73.95106,United States,US,False,flexible,Private room,2018,784,157.0,3.0,11.0
"Cozy Private Bedroom, Access to Terrace",46993901405,UNCONFIRMED,Eric,Brooklyn,Crown Heights,40.677,-73.95923,United States,US,True,strict,Private room,2005,351,70.0,30.0,0.0
JFK 15 AND LGA 18 MINUTES,8465626593,UNCONFIRMED,Chima,Queens,St. Albans,40.70577,-73.75932,United States,US,True,strict,Private room,2007,862,172.0,3.0,2.0
Beautiful 3 BR-2 BA duplex with deck in Park Slope,27149276415,UNCONFIRMED,Gisele,Brooklyn,Windsor Terrace,40.65927,-73.97832,United States,US,False,strict,Entire home/apt,2018,694,139.0,2.0,6.0
"New, elegant private apartment for 2 near JFK",37182841112,UNCONFIRMED,Frank,Queens,Arverne,40.59065,-73.79563,United States,US,False,strict,Entire home/apt,2013,185,37.0,2.0,20.0
"Trendy, Fully-Renovated Studio in West Chelsea",67818365168,UNCONFIRMED,Michael,Manhattan,Chelsea,40.74624,-74.00371,United States,US,True,strict,Entire home/apt,2004,1166,233.0,1.0,51.0
MODERN COZY NYC APT,58859347530,VERIFIED,Huong,Queens,Astoria,40.7687,-73.91975,United States,US,True,strict,Entire home/apt,2011,211,42.0,4.0,5.0
Comfy Apt in Chinatown/Lower East Side,40507169018,UNCONFIRMED,Raymond,Manhattan,Chinatown,40.71305,-73.99443,United States,US,True,flexible,Private room,2016,1129,226.0,1.0,154.0
NYC Firehouse-Greenpoint BRKLYN,45845769070,UNCONFIRMED,Elizabeth,Brooklyn,Greenpoint,40.73218,-73.95647,United States,US,True,strict,Entire home/apt,2020,109,22.0,3.0,0.0
Bronx Beauty: Renovated historic rowhouse.,32145947549,UNCONFIRMED,Steven,Bronx,Hunts Point,40.81658,-73.88889,United States,US,False,moderate,Private room,2020,852,170.0,14.0,13.0
